Hybridization REF	p	difference	q	subclass
Composite Element REF	p	difference	q	subclass
SV:BCL6	1.2592875056182e-08	1.70249776984835	4.97418564719189e-07	1
B2M	0.000775728144572371	0.567219152854512	0.00597583971028381	1
BCL10	0.00217956481669175	0.450488737781556	0.0122989728941892	1
NOTCH2	0.00876037442436791	0.366057515228786	0.0372197215645502	1
TNFAIP3	0.0149560386465452	0.356566085847854	0.05626319300367	1
UBE2A	0.0105846541044958	0.336874911460547	0.042018064831117	1
TMEM30A	0.0266370728266014	0.292676016432923	0.09149255449137	1
FAS	0.0499017417079325	0.259526845162204	0.155310174626186	1
5P:AMP	0.00792670324448814	0.252018699532512	0.0347894197952535	1
5Q:AMP	0.013605519374309	0.206261510128913	0.0524310258814835	1
17P11.2:DEL	0.0024802549551463	-0.0497237569060773	0.0130626760971038	1
PTEN	0.024935035857283	-0.0552486187845304	0.0875496814544603	1
19Q13.32:DEL	0.000794257176683291	-0.0607734806629834	0.00597583971028381	1
SIN3A	0.00895157860413233	-0.0718232044198895	0.0372197215645502	1
19P13.2:DEL	0.0227911563155157	-0.0793313500495821	0.0818409704057155	1
HVCN1	0.00439127639992616	-0.0883977900552486	0.0204065197408333	1
ZC3H12A	0.00284815027619346	-0.0939226519337017	0.0140627419887052	1
1Q42.12:DEL	2.57992810678523e-05	-0.0939226519337017	0.000582326629817238	1
NFKBIE	0.0024802549551463	-0.0994475138121547	0.0130626760971038	1
SF3B1	0.00183420988275934	-0.0994475138121547	0.0107335244991102	1
3Q28:AMP	0.000573832508126389	-0.0994475138121547	0.00477187033073523	1
9Q21.13:DEL	0.00357531248800489	-0.106955659441847	0.0171181628213567	1
GRHPR	0.0014030494236945	-0.110497237569061	0.00885865697441054	1
TOX	0.0014030494236945	-0.110497237569061	0.00885865697441054	1
4Q35.1:DEL	0.00106750120989675	-0.123530245077206	0.00766659959834939	1
ETS1	0.000378581104136652	-0.12707182320442	0.00351857732079947	1
18Q21.33(BCL2):AMP	7.6115554378988e-05	-0.12707182320442	0.00120262575918801	1
HIST1H1D	0.0421554108991653	-0.136563252585352	0.138761560876419	1
1P36.32:DEL	0.0355183911548996	-0.136988241960618	0.119402251116471	1
3P21.31:DEL	0.0106374847673714	-0.138546536336592	0.042018064831117	1
1P31.1:DEL	0.000298379626752347	-0.140104830712566	0.00314293206845805	1
4Q21.22:DEL	0.000298379626752347	-0.140104830712566	0.00314293206845805	1
1P36.11:DEL	0.00280258422956017	-0.142088114463805	0.0140627419887052	1
NFKBIA	0.000254461954525547	-0.143646408839779	0.00309269144731049	1
19P13.3:DEL	0.000413897670597032	-0.145629692591019	0.00363310177524061	1
12P13.2:DEL	1.21880668510185e-07	-0.154696132596685	3.85142912492185e-06	1
9P21.3:DEL	6.71591965624894e-05	-0.162204278226378	0.00117901700631926	1
KLHL6	0.0160126039298933	-0.16971242385607	0.0588370097889103	1
17Q24.3:AMP	0.00115268418511955	-0.16971242385607	0.0079184391847343	1
21Q:AMP	0.00145775367933338	-0.16971242385607	0.00885865697441054	1
17P:DEL	0.000355898875754069	-0.175237285734523	0.00351450139807143	1
STAT3	4.58254775535694e-05	-0.176795580110497	0.000905053181682996	1
ZFP36L1	0.00538828248008289	-0.197336733248335	0.0243242466243742	1
18P:AMP	0.000115436429583039	-0.237994050148746	0.00165808689764729	1
CREBBP	0.000179975827329772	-0.315342116447089	0.00236968172650866	1
TNFRSF14	3.9973481463396e-09	-0.348066298342541	2.76592564773469e-07	1
18Q:AMP	5.25175755898992e-09	-0.40926476838079	2.76592564773469e-07	1
BCL2	1.06385595151313e-09	-0.427397648392124	1.68089240339075e-07	1
SV:BCL2	6.20179809019303e-07	-0.649866190900981	1.63314016375083e-05	1
SV:BCL2	2.54738377163372e-10	1.9026723352566	1.34162211972709e-08	2
BCL2	2.67969754595315e-11	1.33348102200561	2.11696106130299e-09	2
CREBBP	1.9803602122589e-05	0.830305715551617	0.00027822562963127	2
KMT2D	0.00419569685858246	0.530940776842416	0.0194976501075303	2
